# landmark_tcn training start  epochs=80 batch=64
[landmark_tcn] epoch 154/200  train_loss=0.1200 train_acc=0.984  val_loss=3.5875 val_acc=0.542
[landmark_tcn] epoch 155/200  train_loss=0.1320 train_acc=0.974  val_loss=3.6307 val_acc=0.505
[landmark_tcn] epoch 156/200  train_loss=0.1182 train_acc=0.986  val_loss=3.6392 val_acc=0.551
[landmark_tcn] epoch 157/200  train_loss=0.1158 train_acc=0.986  val_loss=3.6480 val_acc=0.514
[landmark_tcn] epoch 158/200  train_loss=0.1141 train_acc=0.986  val_loss=3.5733 val_acc=0.561
[landmark_tcn] epoch 159/200  train_loss=0.1111 train_acc=0.991  val_loss=3.7364 val_acc=0.533
[landmark_tcn] epoch 160/200  train_loss=0.1240 train_acc=0.974  val_loss=3.6715 val_acc=0.579
[landmark_tcn] epoch 161/200  train_loss=0.1100 train_acc=0.993  val_loss=3.7066 val_acc=0.542
[landmark_tcn] epoch 162/200  train_loss=0.1141 train_acc=0.979  val_loss=3.6614 val_acc=0.561
[landmark_tcn] epoch 163/200  train_loss=0.0974 train_acc=0.993  val_loss=3.6915 val_acc=0.505
[landmark_tcn] epoch 164/200  train_loss=0.1184 train_acc=0.977  val_loss=3.6679 val_acc=0.523
[landmark_tcn] epoch 165/200  train_loss=0.1188 train_acc=0.981  val_loss=3.6817 val_acc=0.551
[landmark_tcn] epoch 166/200  train_loss=0.1150 train_acc=0.984  val_loss=3.7548 val_acc=0.551
[landmark_tcn] epoch 167/200  train_loss=0.0939 train_acc=0.988  val_loss=3.7487 val_acc=0.542
[landmark_tcn] epoch 168/200  train_loss=0.1079 train_acc=0.981  val_loss=3.6432 val_acc=0.561
[landmark_tcn] epoch 169/200  train_loss=0.0990 train_acc=0.988  val_loss=3.7387 val_acc=0.542
[landmark_tcn] epoch 170/200  train_loss=0.1018 train_acc=0.988  val_loss=3.7520 val_acc=0.523
[landmark_tcn] epoch 171/200  train_loss=0.0940 train_acc=0.995  val_loss=3.6927 val_acc=0.570
